role,category,name,path,duration_s,tempo_bpm,rms_p95,centroid_hz,onset_density,onsets_per_sec,chroma_mode,chroma_key,energy
anchor,music,battle_1,wandering_inn_game/assets/audio/music/battle_1.ogg,73.369,92.3,0.3038,2992.5,0.2256,4.593,minor,F#,0.3119
anchor,music,battle_for_ashes,wandering_inn_game/assets/audio/music/battle_for_ashes.ogg,118.323,112.3,0.3343,2254.3,0.2133,2.358,minor,A,0.3435
anchor,music,battle_for_courage,wandering_inn_game/assets/audio/music/battle_for_courage.ogg,142.942,136.0,0.3088,2721.9,0.2301,6.065,minor,A,0.3595
anchor,music,battle_for_despair,wandering_inn_game/assets/audio/music/battle_for_despair.ogg,56.605,152.0,0.3315,2654.7,0.2246,6.325,minor,C,0.3851
anchor,music,battle_for_hope,wandering_inn_game/assets/audio/music/battle_for_hope.ogg,182.002,89.1,0.2876,2659.6,0.1762,4.33,minor,G,0.2858
anchor,music,battle_for_humanity,wandering_inn_game/assets/audio/music/battle_for_humanity.ogg,88.763,172.3,0.3005,2647.9,0.1794,4.551,minor,D,0.3763
anchor,music,battle_for_nothing,wandering_inn_game/assets/audio/music/battle_for_nothing.ogg,104.907,152.0,0.3377,2117.5,0.2366,3.784,minor,C,0.3918
anchor,music,battle_for_the_fallen_ones,wandering_inn_game/assets/audio/music/battle_for_the_fallen_ones.ogg,74.488,172.3,0.2983,2721.7,0.1679,4.511,major,G,0.3718
anchor,music,battle_for_vengeance,wandering_inn_game/assets/audio/music/battle_for_vengeance.ogg,91.791,112.3,0.2925,2548.9,0.1597,4.772,minor,G,0.3065
anchor,music,battle_for_what_remains,wandering_inn_game/assets/audio/music/battle_for_what_remains.ogg,74.421,161.5,0.2938,2635.0,0.1825,2.822,minor,F#,0.3631
anchor,music,battle_the_final_of_the_fantasy,wandering_inn_game/assets/audio/music/battle_the_final_of_the_fantasy.ogg,88.747,143.6,0.2777,1845.4,0.1727,1.555,major,C,0.3342
anchor,music,cynicmusic_battle_a,wandering_inn_game/assets/audio/music/cynicmusic_battle_a.ogg,95.852,143.6,0.2505,1972.1,0.2432,4.799,minor,C,0.3417
anchor,music,cynicmusic_town_theme,wandering_inn_game/assets/audio/music/cynicmusic_town_theme.ogg,97.454,92.3,0.1963,1070.6,0.2248,2.586,major,G,0.2579
anchor,music,decisive_battle_1,wandering_inn_game/assets/audio/music/decisive_battle_1.ogg,107.669,117.5,0.3054,2324.2,0.2043,4.467,minor,F#,0.3314
anchor,music,definitely_our_town,wandering_inn_game/assets/audio/music/definitely_our_town.ogg,97.589,86.1,0.2807,2325.8,0.1616,3.586,major,A,0.2749
anchor,music,hydrogene_dangerous_cave,wandering_inn_game/assets/audio/music/hydrogene_dangerous_cave.ogg,79.288,112.3,0.1758,1785.2,0.1076,3.784,major,E,0.2325
anchor,music,hydrogene_dwarven_mine,wandering_inn_game/assets/audio/music/hydrogene_dwarven_mine.ogg,50.769,103.4,0.1823,2433.0,0.1165,4.136,major,C,0.2294
anchor,music,hydrogene_east_town,wandering_inn_game/assets/audio/music/hydrogene_east_town.ogg,58.777,99.4,0.211,1618.8,0.1601,3.267,minor,A,0.2529
anchor,music,hydrogene_hidden_cavern,wandering_inn_game/assets/audio/music/hydrogene_hidden_cavern.ogg,81.821,89.1,0.1541,1151.9,0.1663,3.288,major,F,0.216
anchor,music,hydrogene_malicious_scheme,wandering_inn_game/assets/audio/music/hydrogene_malicious_scheme.ogg,71.21,92.3,0.1475,768.1,0.2434,2.696,minor,G,0.239
anchor,music,hydrogene_military_base,wandering_inn_game/assets/audio/music/hydrogene_military_base.ogg,48.973,99.4,0.1738,1928.7,0.1514,3.573,major,G,0.2317
anchor,music,junkala_army_approaching,wandering_inn_game/assets/audio/music/junkala_army_approaching.ogg,124.235,86.1,0.2707,1437.0,0.1876,3.123,minor,G,0.2778
anchor,music,junkala_bazaar,wandering_inn_game/assets/audio/music/junkala_bazaar.ogg,110.345,172.3,0.2539,2125.5,0.1326,3.534,major,F,0.339
anchor,music,junkala_childhood_friends,wandering_inn_game/assets/audio/music/junkala_childhood_friends.ogg,102.857,112.3,0.1653,1496.0,0.1574,1.876,major,D,0.2422
anchor,music,junkala_encounter_witches,wandering_inn_game/assets/audio/music/junkala_encounter_witches.ogg,113.548,136.0,0.2259,2071.6,0.2271,3.003,minor,D,0.3171
anchor,music,junkala_home_town,wandering_inn_game/assets/audio/music/junkala_home_town.ogg,90.0,95.7,0.2705,1216.3,0.1174,1.367,major,G,0.2662
anchor,music,junkala_innocence,wandering_inn_game/assets/audio/music/junkala_innocence.ogg,71.111,53.8,0.0792,1050.1,0.087,1.111,minor,E,0.1195
